Date,BAB
10/21/2003,24240.13251
10/22/2003,24450.19672
10/23/2003,24718.46596
10/24/2003,24786.60675
10/27/2003,24727.09194
10/28/2003,24540.02372
10/29/2003,24604.94628
10/30/2003,24670.3746
10/31/2003,24769.82054
11/3/2003,24855.92425
11/4/2003,24814.97418
11/5/2003,24870.29994
11/6/2003,24844.53893
11/7/2003,24901.44997
11/10/2003,25163.01899
11/11/2003,25232.28291
11/12/2003,25218.03817
11/13/2003,25353.73081
11/14/2003,25517.74736
11/17/2003,25574.94617
11/18/2003,25677.44868
11/19/2003,25864.69696
11/20/2003,25856.75947
11/21/2003,25887.99096
11/24/2003,25828.53297
11/25/2003,25912.51982
11/26/2003,26011.85798
11/27/2003,26010.78476
11/28/2003,25912.65602
12/1/2003,25910.11797
12/2/2003,26006.39474
12/3/2003,26084.37233
12/4/2003,26277.72164
12/5/2003,26426.70462
12/8/2003,26695.54767
12/9/2003,26859.47278
12/10/2003,27025.40796
12/11/2003,26796.65873
12/12/2003,26879.5235
12/15/2003,27055.28882
12/16/2003,27186.05994
12/17/2003,27277.59127
12/18/2003,27123.1951
12/19/2003,27161.07351
12/22/2003,27209.42335
12/23/2003,27149.90713
12/24/2003,27247.05996
12/25/2003,27245.98423
12/26/2003,27299.74564
12/29/2003,27406.09569
12/30/2003,27491.98626
12/31/2003,27457.91523
1/1/2004,27456.81573
1/2/2004,27281.37702
1/5/2004,27035.58028
1/6/2004,26821.73809
1/7/2004,26566.31928
1/8/2004,26486.79042
1/9/2004,26506.25243
1/12/2004,26338.65101
1/13/2004,26367.45952
1/14/2004,26283.24152
1/15/2004,26267.12921
1/16/2004,25948.93289
1/19/2004,25947.88952
1/20/2004,25883.4896
1/21/2004,26097.11024
1/22/2004,26368.50839
1/23/2004,26530.01409
1/26/2004,26501.67088
1/27/2004,26712.53006
1/28/2004,26906.51086
1/29/2004,27087.37751
1/30/2004,27023.50311
2/2/2004,27094.60564
2/3/2004,27259.02597
2/4/2004,27512.21881
